CellId	Radius	Length	Curvature	Torsion	Tortuosity	StartPointPosition_R	StartPointPosition_A	StartPointPosition_S	EndPointPosition_R	EndPointPosition_A	EndPointPosition_S
158	5.05322	42.0639	0.0196639	207.244	0.0353109	1.74505	159.895	-183.392	-36.175	166.027	-196.629
159	3.72397	7.25267	0.11975	0	0.0339248	-36.175	166.027	-196.629	-42.2388	169.419	-195.663
160	7.09251	39.3395	0.0177699	36.0604	0.0238827	13.962	157.569	-135.787	6.13062	154.353	-173.265
161	2.71347	5.59288	0.0382531	0	0.00930399	47.1143	162.739	-175.598	51.1542	166.461	-176.328
162	2.34817	8.32411	0.204126	0	0.587411	7.31288	158.261	-156.494	2.55993	160.203	-155.427
163	1.8256	21.741	2.56539	-13957	0.969958	2.55993	160.203	-155.427	10.3602	159.183	-147.686
164	7.14825	44.3542	0.10916	-928.701	0.546824	10.3602	159.183	-147.686	11.7063	157.823	-119.076
165	2.58153	76.6122	0.0359346	657.882	0.169842	14.7922	159.593	-116.634	51.4258	148.57	-169.788
166	4.17488	15.3926	0.879056	0	3.34407	10.2635	158.667	-151.45	11.0368	158.483	-154.903
167	2.29975	43.3507	0.0418633	1075.33	0.105763	11.0368	158.483	-154.903	-8.44904	160.305	-188.873
168	6.02229	169.401	0.0344443	-545.22	2.24696	4.25097	157.636	-162.867	11.8805	158.737	-111.267
169	2.93009	23.2884	0.232139	7139.99	0.913508	7.39816	159.958	-165.823	19.5228	159.472	-166.761
170	2.76211	46.6718	0.985745	-678.764	1.0217	19.5228	159.472	-166.761	22.798	159.804	-189.611
171	2.52992	49.2692	0.0291584	848.765	0.0332278	22.798	159.804	-189.611	54.6624	185.404	-214.17
172	4.68577	29.9413	0.00921208	-1124.88	0.00699015	22.798	159.804	-189.611	29.9232	161.974	-218.396
173	3.53977	149.259	0.421237	-263.275	0.267368	29.9232	161.974	-218.396	10.91	162.148	-102.171
